Long name,Long name for cards,Short name,Description,Category,Status,Logo (for cards),Logo (for map),Link,Short URL,Date added,x,y,Scale,Publish?,Hide?
Santa Fe Institute,,,"Independent nonprofit research institute for the study of complex adaptive systems, historically foundational to agent-based modeling, network theory, and complexity science. Runs the Foundations of Intelligence program studying conceptual abstraction, analogy-making, and general theories of intelligence across natural and artificial systems.",Video,Active,https://icons.duckduckgo.com/ip3/www.santafe.edu.ico,https://icons.duckduckgo.com/ip3/www.santafe.edu.ico,https://www.santafe.edu/,,,19.8,5.6,,TRUE,FALSE
Future of Humanity Institute (FHI),,,"Former interdisciplinary Oxford research centre studying big-picture existential-risk questions, including AI alignment, AI governance, and global catastrophic risk. Publisher of Drexler's 'Reframing Superintelligence' (Comprehensive AI Services / CAIS), already in the paper canon. Institutionally defunct as of April 2024.",Conceptual research,No longer active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/dClULqeYBeH_tfHj0r2oLA/Cfjb6NGkBYyTlXlRp901oPkbwB3LbehMEvPrCFBtBVK3UShVMI0q1-V0ARm8hq2tTxt70hNVsWr8Pa8S4jMhll5L9mdd2xy1aagkvuFkosA4fQ7n9vrxK6ZbZq990vGJY_qehP12LPupvX0KsCkS1Rlj1cvs-aa3VWfT3Pa3hth6JrnOyTPstKs1Y1nHgs8Algjz4epzNIHHnscpAXlcAQ/MvUFCx5DnJAciBWURIcbh60Nfwhk8VEvN0-6h2S-sNk,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/dClULqeYBeH_tfHj0r2oLA/Cfjb6NGkBYyTlXlRp901oPkbwB3LbehMEvPrCFBtBVK3UShVMI0q1-V0ARm8hq2tTxt70hNVsWr8Pa8S4jMhll5L9mdd2xy1aagkvuFkosA4fQ7n9vrxK6ZbZq990vGJY_qehP12LPupvX0KsCkS1Rlj1cvs-aa3VWfT3Pa3hth6JrnOyTPstKs1Y1nHgs8Algjz4epzNIHHnscpAXlcAQ/MvUFCx5DnJAciBWURIcbh60Nfwhk8VEvN0-6h2S-sNk,https://www.fhi.ox.ac.uk/,,,57,30.7,Small,TRUE,FALSE
Cooperative AI Summer School,,,Advanced 5-day program for early-career professionals already working in or studying cooperative AI.,Training and education,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/JgR7tWdaVtTZBvMAZgwjSA/dIeLW6yvhLEmRT2lhi-k08K77uzeHNOzFFYMgjCGowqZFrDcDxz4oLmOiX6ztnXHkM3_RXRlAqVO6qmzn32yzArgkMj5vf9BJ-rNmsJkvoEJkEZxZmXHAJWg6epL4R2-Ca2x1DBW16TxOhxFCbHUcg/ALI5DsM19MWdZ6_ycEVliY3JUqpGwpnYE5rql_OGr7k,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/DciBcZf8ANSkoh384UyLkA/HgIwzkcIAoU6A6DxR4pU1T8l-1UguWVQjqNnzPPs5wo2nhkJusH-aeoxLog0UGU74uOh_Ao9k3OU8BjCvESUcjjdQ8QrmC_fR5IIZMcpTl37v7wPaQ6Wz93nJX5sDfGlTYvpnjowmYMYpujoS_8DgA/1eIlxlnJVOi2EJaoBPlHRt3ms2no9N4LadFvKms7IKE,https://www.cooperativeai.com/summer-school/summer-school-2026,,,32.8,21.7,Small,TRUE,FALSE
Simile,,,"Builds AI simulations of society populated by agents grounded in real human behavioral data, extending the original 'generative agents' research (Smallville). Offers enterprise workflows for customer/market simulation.",Capabilities research;Empirical research,Active,https://icons.duckduckgo.com/ip3/www.simile.ai.ico,https://icons.duckduckgo.com/ip3/www.simile.ai.ico,https://www.simile.ai/,,,41.8,27.1,,TRUE,FALSE
Artificial Societies,,,"Builds networks of AI personas (300-5,000+ per 'society') to simulate stakeholder and audience opinions for enterprise market research, comms, and policy testing.",Capabilities research;Empirical research,Active,https://icons.duckduckgo.com/ip3/societies.io.ico,https://icons.duckduckgo.com/ip3/societies.io.ico,https://societies.io/,,,45.0,27.1,,TRUE,FALSE
Softmax,,,"Independent research lab building the science of 'organic alignment' - the thesis that the kinds of agents that stay aligned with humans are the kinds that stay aligned with each other - through multi-agent reinforcement learning. Developed Cogames, an open-source benchmark/package for social intelligence games where agents cooperate and compete.",Conceptual research;Empirical research,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/Po4E2vtQs7_LjRoPMyBTXA/mVbBrVHIKmYnmMpk06DdpYme0JwwNsfH2XqTYPHXK8rFFtQWHjQL7L91uTrh4dVABdMjG4X7AXyp6Ti6Xe61udBOAW62PDwNG6CSjZA3Ndk4lTyTyznx8CKzrOZ5xZR26--bz3gb8zvueOwSCHkKpg/nDIl5zpAhxc5a4GMIeI_NSj0zaPo2xaLZvDSX-Gsc6I,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/Cf2qG-_AvydvTy8-M8GvEQ/YiNNT5xnGS85x2xnVrF2xQTwqm1DeNLP4_pHG-7gzpF29-hCWmixxiKmn651Cs__ehRKAShjgCtOUnc4RFsh4Cz1Isw_k9CNRBgGkc9bqa3jZlYknK8uFurKWLJ8MSKSjV9RjIDeRXw_k9JHPaitEw/NtsyUe6Wu-xP28mN5WBVRdGH8m6rgV1VlvGnynhUFMc,https://softmax.com/,,,48.9,7.4,Small,TRUE,FALSE
Google DeepMind,,,"Google's AI research lab. Authors of 'Virtual Agent Economies', 'AI Agent Traps', 'Distributional AGI Safety', and 'Intelligent AI Delegation' (all in the paper canon). Co-leads a $10M joint funding call (with Schmidt Sciences, Cooperative AI Foundation, ARIA, Google.org), 'Scaling AI Safety for a Multi-Agent World', launched June 2026, to fund research on emergent risks in populations of interacting agents.",Capabilities research;Empirical research,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/AZ0fdlK-nJguuh3uA8dbtw/Ol1-Ywo5bK5B-Ku5HOAiXJ9D9AJU8dDilqLZoFn7DGKzqH2tDJ_lnPK9DdXj82q0mZvYU0ntP_hT9YpRd3335ml6OXus0tuQiidgY1m2nbidLIB0v1JymxA4FuK5QIs7iG9r7mlaYb09idRIYi1dYPPXRKKll-iVabyVIp_uZCw/OkgS7Suci3Y-Huv5twUvM2iTPOurGug0vfnfzoU1cw0,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/IZWW4kLMK_UwsDiNQ9yssw/0xtYTomzF-s3XtEHGAKc25fUg3k8I9OV5_9BsSsbUcZ_Qp6PlFpiD4v_XmVpEBvm_3a1zsqB_wkU59w8NprwThdQvOLzy1j0TD2cmOUouyYdwBu9ysnl-tEKR8YpeedXMuMsFxoeJcpOAXk8v95lvg/lTvUVImXMtYn8jysyf0ZLcw_VHOPElcd0TpeOa_v79Q,https://deepmind.google/,,,49.6,20.5,Large,TRUE,FALSE
ARIA (Advanced Research + Invention Agency),,,"UK government research funding agency modeled on DARPA, funding high-risk/high-reward technical research. Runs the 'Scaling Trust' programme (whose Programme Thesis v2.0 is in the paper canon) and co-funds the DeepMind-led $10M multi-agent AI safety call alongside Schmidt Sciences, Cooperative AI Foundation, and Google.org.",Funding,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/eZfa0sHPtI5U5HmEdHUskA/gJAO6nadyHtxgIedX8KM4ckH3K_i5-eofLbpG8f-iwhrGzt12F_UDoVmmEQdJZzA_g9kzfnSCq-iDjsXHv6j5pQBy7rCtPoSYx42OztqheNtkeaQ8UlinE3XnxfnTO8baSnkjm_wKkEp1WknwcwrmhvxNUFJa_IczGMXvnst4KI/pfwW9L_ZSsNKxwr2XyQPCPBFiD9MoB4F9quNnYTkx7c,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/nDHC139yUMXiliDsKhiSVg/ZhRptUn8c5NnrR3N0YLvGX1tKme1q3__3iKe0yGEUaTZ6LqYeNXYO3dlprvAygGl_JW5xN1My_l38yI8IrbJCHMm6GcYKgN-BDAphGziyebepQwN_woebgnIglqGTelhn_SlN8rX0WSK6OX0hNwCp3q6NITcerfrQsmg3bnm1dY/UccaL4KK7twOmlzX2B1-aV_RDIxwOIeDRfg48yKUH7o,https://aria.org.uk/,,,29.4,5.4,Small,TRUE,FALSE
Schmidt Sciences,,,"Philanthropic science-funding organization founded by Eric and Wendy Schmidt. Co-leads and hosts the application portal for 'Scaling AI Safety for a Multi-Agent World', the $10M joint funding call with Google DeepMind, Cooperative AI Foundation, ARIA, and Google.org.",Funding,Active,https://icons.duckduckgo.com/ip3/www.schmidtsciences.org.ico,https://icons.duckduckgo.com/ip3/www.schmidtsciences.org.ico,https://www.schmidtsciences.org/,,,29.2,7.0,,TRUE,FALSE
International Monetary Fund (IMF),,,"International financial institution (190 member countries) actively researching and advising on AI's macroeconomic, labor-market, and financial-stability effects, including agentic AI's impact on payments systems, monetary policy transmission, and systemic risk. Publishes IMF Working Papers and Notes on these topics and integrates AI considerations into country surveillance.",Video,Active,https://www.imf.org/favicon.ico,https://www.imf.org/favicon.ico,https://www.imf.org/en/topics/artificial-intelligence,,,23.0,5.6,,TRUE,FALSE
