name,type,focus_areas,description,size,key_people,url,aisafety_map_category_1,aisafety_map_category_2,aisafety_map_category_3,aisafety_map_status,founded,hq_location,funding
Santa Fe Institute,Academic Programme/Lab,Collective Intelligence; Simulation and Digital Twins; Foundations & Taxonomies,"Independent nonprofit research institute for the study of complex adaptive systems, historically foundational to agent-based modeling, network theory, and complexity science. Runs the Foundations of Intelligence program studying conceptual abstraction, analogy-making, and general theories of intelligence across natural and artificial systems.","Resident faculty, external faculty network, postdocs, and visiting researchers (exact headcount not confirmed)","Melanie Mitchell (Davis Professor of Complexity; PI, Foundations of Intelligence), David Krakauer (President), Jessica Flack, David Wolpert, Mirta Galesic (among many affiliated researchers)",https://www.santafe.edu/,Video,,,Active,1984,"Santa Fe, New Mexico, USA",Philanthropic/grant-funded nonprofit (specific current figures not confirmed in search)
Future of Humanity Institute (FHI),Academic Programme/Lab,Foundations & Taxonomies; Threat Models; Collective Intelligence,"Former interdisciplinary Oxford research centre studying big-picture existential-risk questions, including AI alignment, AI governance, and global catastrophic risk. Publisher of Drexler's 'Reframing Superintelligence' (Comprehensive AI Services / CAIS), already in the paper canon. Institutionally defunct as of April 2024.",0 (closed),"Nick Bostrom (Founding Director, resigned upon closure); Anders Sandberg; Toby Ord (alumni, now at Oxford Martin School)",https://www.fhi.ox.ac.uk/,Conceptual research,,,No longer active,2005,"Oxford, UK","Historically funded by Amlin, Elon Musk, the European Research Council, Future of Life Institute, and the Leverhulme Trust"
Cooperative AI Summer School,Academic Programme/Lab,Coordination & (Super-)cooperation; Multi-Agent Alignment,Advanced 5-day program for early-career professionals already working in or studying cooperative AI.,Small annual cohort,"Same leadership as Cooperative AI Foundation (Lewis Hammond, David Norman)",https://www.cooperativeai.com/summer-school/summer-school-2026,Training and education,,,Active,2023,Varies,Run by the Cooperative AI Foundation (already in this doc)
Simile,Company,Simulation and Digital Twins; Persona Extraction,"Builds AI simulations of society populated by agents grounded in real human behavioral data, extending the original 'generative agents' research (Smallville). Offers enterprise workflows for customer/market simulation.","Not publicly disclosed; enterprise clients include Wealthfront, CVS Health, Suntory, Telstra, Banco Itau",Joon Sung Park (CEO/Founder),https://www.simile.ai/,Capabilities research,Empirical research,,Active,2023,"San Francisco, USA","$100M raised, led by Index Ventures; participation from Hanabi, A*, Bain Capital Ventures, and angels including Andrej Karpathy, Fei-Fei Li, Adam D'Angelo"
Artificial Societies,Company,Simulation and Digital Twins; Persona Extraction,"Builds networks of AI personas (300-5,000+ per 'society') to simulate stakeholder and audience opinions for enterprise market research, comms, and policy testing.",6 employees (as of 2025-26),"James He (CEO/Co-founder), Patrick Sharpe (CPO/Co-founder)",https://societies.io/,Capabilities research,Empirical research,,Active,2024,"London, UK","~$5.35M combined pre-seed/seed: $3.35M seed led by Point72 Ventures + Y Combinator; $2M pre-seed with Kindred Capital, Pioneer Fund, and angels tied to DeepMind/Sequoia/Figma/Prolific"
Softmax,Company,Multi-Agent Alignment; Collective Intelligence; Coordination & (Super-)cooperation,"Independent research lab building the science of 'organic alignment' -- the thesis that the kinds of agents that stay aligned with humans are the kinds that stay aligned with each other -- through multi-agent reinforcement learning. Developed Cogames, an open-source benchmark/package for social intelligence games where agents cooperate and compete.",Small team,"Emmett Shear (Co-founder; ex-Twitch CEO, briefly interim OpenAI CEO in Nov 2023), David Bloomin (Co-founder; ex-Google/Facebook/Asana engineer, MettaGrid project), George/Ozzie Goldstein (Co-founder; ex-Hipmunk, worked in Michael Levin's biology lab on active inference)",https://softmax.com/,Conceptual research,Empirical research,,Active,2025,,Supported by 'a small group of individuals and organizations' (not publicly itemized)
Google DeepMind,Company,Threat Models; Collective Intelligence; Multi-Agent Alignment; LA Infrastructure & Protocols; Coordination & (Super-)cooperation,"Google's AI research lab. Authors of 'Virtual Agent Economies', 'AI Agent Traps', 'Distributional AGI Safety', and 'Intelligent AI Delegation' (all in the paper canon). Co-leads a $10M joint funding call (with Schmidt Sciences, Cooperative AI Foundation, ARIA, Google.org), 'Scaling AI Safety for a Multi-Agent World', launched June 2026, to fund research on emergent risks in populations of interacting agents.",Thousands of staff (exact multi-agent-safety team headcount not disclosed),"Demis Hassabis (CEO); Nenad Tomasev, Matija Franklin, Julian Jacobs, Simon Osindero, Joel Z. Leibo (authors on the LAS canon papers); Owen Larter (Senior Director, Policy and Public Affairs)",https://deepmind.google/,Capabilities research,Empirical research,,Active,2010,"London, UK",Alphabet/Google subsidiary
ARIA (Advanced Research + Invention Agency),Funder,"Trust, Delegation & Accountability; LA Infrastructure & Protocols; Threat Models","UK government research funding agency modeled on DARPA, funding high-risk/high-reward technical research. Runs the 'Scaling Trust' programme (whose Programme Thesis v2.0 is in the paper canon) and co-funds the DeepMind-led $10M multi-agent AI safety call alongside Schmidt Sciences, Cooperative AI Foundation, and Google.org.",Small core staff plus Programme Directors leading each research programme,Ilan Gur (CEO); programme leadership for Scaling Trust (specific Programme Director not confirmed in search for this entry),https://aria.org.uk/,Funding,,,Active,2023,"London, UK","UK government-funded (statutory body, ~GBP 800M committed over initial years per public announcements)"
Schmidt Sciences,Funder,Threat Models; Collective Intelligence; LA Infrastructure & Protocols,"Philanthropic science-funding organization founded by Eric and Wendy Schmidt. Co-leads and hosts the application portal for 'Scaling AI Safety for a Multi-Agent World', the $10M joint funding call with Google DeepMind, Cooperative AI Foundation, ARIA, and Google.org.",,"Eric Schmidt (Co-founder; former Google CEO), Wendy Schmidt (Co-founder)",https://www.schmidtsciences.org/,Funding,,,Active,2024,"New York, USA",Philanthropic foundation (Eric and Wendy Schmidt)
International Monetary Fund (IMF),Other,Financial Systems & Systemic Risk; Agentic Economies; Threat Models; Policy and Governance,"International financial institution (190 member countries) actively researching and advising on AI's macroeconomic, labor-market, and financial-stability effects, including agentic AI's impact on payments systems, monetary policy transmission, and systemic risk. Publishes IMF Working Papers and Notes on these topics and integrates AI considerations into country surveillance.","~2,700 staff","Kristalina Georgieva (Managing Director); Sonja Davidovic and Herve Tourpe (authors, 'How Agentic AI Will Reshape Payments,' IMF Notes 2026/004); Era Dabla-Norris and Anton Korinek (AI/macro scenario planning research)",https://www.imf.org/en/topics/artificial-intelligence,Video,,,Active,1944,"Washington, D.C., USA","Intergovernmental organization, funded by member-country quota contributions"
